OBJECTID,Join_Count,TARGET_FID,JOIN_FID,EGRID,COMMUNE,NO_COMM,NO_PARCELLE,IDEDDP,SURFACE,MUTMAI,MUTORI,PROVENANCE,VALIDITE,TYPE_PROPRI,PLAN_RF,EXTRAIT_RDPPF_PDF,NO_CLASSEMENT,NOM,NATURE_OBJET,DATE_ACE,PROTECTION_FEDERALE,LIEN_WWW,LIEN_ARRETE,SHAPE_Length,SHAPE_Area,x,y
"33","1","3335","457",CH476382796548,Chêne-Bougeries,"12","521",12:521,"1456","431973","431973",terrestre,en vigueur,privé,"17",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH476382796548,MS-c 184,Propriété de Grange-Bonnet,Parcelle,30.06.1967,"-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c184.pdf,172.383902320823,1455.88438291874,6.1851317592,46.1978725716
"34","1","3336","50",CH496582796328,Chêne-Bougeries,"12","3112",12:3112,"1081","0282007","0282007",terrestre,en vigueur,privé,"17",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH496582796328,MS-c 184,Propriété de Grange-Bonnet,Parcelle,30.06.1967,"-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c184.pdf,135.823724886356,1081.46414641833,6.1847902611,46.1978559958
"35","1","3337","334",CH428279656311,Chêne-Bougeries,"12","3111",12:3111,"252","0282007","0282007",terrestre,en vigueur,privé,"17",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH428279656311,MS-c 184,Propriété de Grange-Bonnet,Parcelle,30.06.1967,"-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c184.pdf,70.7459239497171,252.099094334678,6.1849020383,46.1980780990
"36","1","3378","453",CH436582637961,Chêne-Bougeries,"12","3110",12:3110,"793","0282007","0282007",terrestre,en vigueur,privé,"17",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH436582637961,MS-c 184,Propriété de Grange-Bonnet,Parcelle,30.06.1967,"-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c184.pdf,138.20154710653,792.909620061551,6.1850858621,46.1982010522
"37","1","4705","511",CH408263226556,Vernier,"46","3486",46:3486,"4355","1291987","1291987",terrestre,en vigueur,dépendance,"24",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH408263226556,MS-c 143,Maison de L'Etincelle,Parcelle,22.10.1957,"-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c143.pdf,371.930538050897,4355.46884153505,6.1069357580,46.2021595583
"38","1","4843","156",CH368165633208,Dardagny,"20","1112",20:1112,"144","0042004","0042004",terrestre,en vigueur,DP cantonal,"1",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH368165633208,MS-c 117,Bords de l'Allondon,Parcelle,01.04.1952,"-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c117.pdf,130.743384605554,144.22278041053,5.9985883917,46.2194265397
"39","1","5159","129",CH936581636016,Confignon,"18","11566",18:11566,"2202","0062205","0062205",terrestre,en vigueur,privé,"4",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH936581636016,MS-c 64,Bois au bord de l'Aire,Parcelle,"16.01.1935,09.11.1923,19.09.1934","-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c64.pdf,257.558293510779,2201.57899828271,6.0986618340,46.1756041623
"40","1","5268","223",CH416342658048,Versoix,"47","6167",47:6167,"341","521993","521993",terrestre,en vigueur,privé,"42",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH416342658048,MS-c 229,Chapelle d'Ecogia,"Maison, immeuble",16.11.1988,"-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c229.pdf,74.9411413033295,340.651244052362,6.1501384066,46.2904593620
"41","1","5268","936",CH416342658048,Versoix,"47","6167",47:6167,"341","521993","521993",terrestre,en vigueur,privé,"42",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH416342658048,MS-c 229,Chapelle d'Ecogia,"Maison, immeuble",16.11.1988,"-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c229.pdf,74.9411413033295,340.651244052362,6.1501384066,46.2904593620
"42","1","5338","49",CH368165634493,Bernex,"7","7532",7:7532,"1257","0482010","461937",terrestre,en vigueur,DP communal,"16",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH368165634493,MS-c 64,Bois au bord de l'Aire,Parcelle,"16.01.1935,09.11.1923,19.09.1934","-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c64.pdf,621.282076733555,1256.60572411445,6.0837044252,46.1668599013
